time,hum,tem,co2,illumination,pressure,pm2_5,pm10,wind_direction,wind_direction_angle,wind_speed,wind_speed_level,tsr,bat
2023-05-02T16:51:03.665,99.9,30.7,282,32450,999.9,3,3,NNW,327.1,0.7,1,146,
2023-05-02T16:31:03.670,95.5,30.5,308,21770,999.9,3,3,ESE,117.2,1.2,1,111.8,
2023-05-02T16:11:03.648,97,31.1,303,85460,999.6,3,3,NNW,326.4,1.2,1,407.1,
2023-05-02T15:51:03.655,96.8,31.3,283,32180,1000.2,4,5,SSW,192.8,1.1,1,186.6,
2023-05-02T15:31:03.623,91.2,32.3,267,57080,999.9,4,4,NW,308.4,0.7,1,351.3,
2023-05-02T15:11:03.642,91.1,32.1,275,63750,1000.4,3,4,N,0.3,0.6,1,391,
2023-05-02T14:51:03.618,88.7,32.3,304,53220,1000.7,3,3,SSE,158.9,1.3,1,342.3,
2023-05-02T14:31:03.591,89.6,32.7,289,103050,1000.9,4,5,W,268.8,2,2,587.4,
2023-05-02T14:11:03.614,93.5,32.4,312,75380,1001.4,3,3,WNW,300.9,0.6,1,447.7,
2023-05-02T13:51:03.573,97.2,31.4,265,45690,1001.9,4,5,NNW,339.6,3.3,2,300.2,
2023-05-02T13:31:03.571,95,31.8,297,112420,1001.9,3,3,NNW,333.6,1.2,1,696.4,
2023-05-02T13:11:03.565,94.9,32.2,309,145860,1002.2,3,3,NW,323.6,0.9,1,901.8,
2023-05-02T12:51:03.547,92.1,32.8,330,160520,1002.5,3,3,NNW,348,1.4,1,998.8,
2023-05-02T12:31:03.555,98.9,31.4,339,161550,1002.7,3,3,NW,305.7,1.3,1,996.5,
2023-05-02T12:11:03.541,99.9,30.9,321,90950,1003.1,3,3,NW,315.7,1.5,1,588.2,
2023-05-02T11:51:03.528,99.9,30.5,333,102590,1003.2,3,3,W,278.3,1.3,1,656.8,
2023-05-02T11:31:03.541,99.9,30.4,322,62600,1003.4,4,5,NNW,339.2,0.6,1,409,
2023-05-02T11:11:03.505,99.9,29.7,321,93260,1003.3,3,3,N,2.2,1.1,1,583.5,
2023-05-02T10:51:03.532,99.9,29.9,342,82410,1003.6,3,3,NW,305.9,0.9,1,526.3,
2023-05-02T10:31:03.514,99.9,29.2,364,80080,1003.8,3,3,WNW,295,1.3,1,487.4,
2023-05-02T10:11:03.530,99.9,28.7,391,62770,1004.2,3,3,NNW,337.7,1.4,1,403.1,
2023-05-02T09:51:03.524,99.9,27.4,400,51660,1004.4,4,5,NNW,347.9,1.1,1,345.9,
2023-05-02T09:31:03.510,99.9,26.9,431,16080,1004.7,3,3,WNW,295,0.7,1,120.8,
